name,type,start_time,duration,"mosi","miso"
"SPI","enable",7.14726825,2.5e-07,,
"SPI","result",7.14727175,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14727575,3.75e-06,0b00000100,0b00000000
"SPI","result",7.14728125,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14728525,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14729325,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14729725,3.75e-06,0b00000101,0b00000000
"SPI","result",7.14730225,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14730625,3.5e-06,0b00000000,0b00000000
"SPI","disable",7.14730975,2.50000001e-07,,
"SPI","enable",7.14731025,2.49999999e-07,,
"SPI","result",7.14731375,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14731775,3.75e-06,0b00000110,0b00000000
"SPI","result",7.14732325,3.75e-06,0b00000011,0b00000000
"SPI","result",7.14732725,3.75e-06,0b00001011,0b00000000
"SPI","result",7.14733525,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14733925,3.75e-06,0b00000111,0b00000000
"SPI","result",7.1473445,3.75e-06,0b00000000,0b00000000
"SPI","result",7.1473485,3.25e-06,0b00000000,0b00000000
"SPI","disable",7.14735175,2.49999999e-07,,
"SPI","enable",7.1473525,2.5e-07,,
"SPI","result",7.14735575,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14735975,3.75e-06,0b00001000,0b00000000
"SPI","result",7.14736525,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14736925,3.75e-06,0b00000111,0b00000000
"SPI","result",7.14737725,4e-06,0b00000010,0b00000000
"SPI","result",7.1473815,3.75e-06,0b00001001,0b00000000
"SPI","result",7.1473865,3.75e-06,0b00000100,0b00000000
"SPI","result",7.1473905,3.25e-06,0b00000111,0b00000000
"SPI","disable",7.14739375,2.5e-07,,
"SPI","enable",7.1473945,2.50000001e-07,,
"SPI","result",7.14739775,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14740175,3.75e-06,0b00001010,0b00000000
"SPI","result",7.14740725,4e-06,0b00001000,0b00000000
"SPI","result",7.1474115,3.75e-06,0b00000000,0b00000000
"SPI","result",7.1474195,3.75e-06,0b00000010,0b00000000
"SPI","result",7.1474235,3.75e-06,0b00001011,0b00000000
"SPI","result",7.1474285,3.75e-06,0b00000000,0b00000000
"SPI","result",7.1474325,3.25e-06,0b00000011,0b00000000
"SPI","disable",7.14743575,2.5e-07,,
"SPI","enable",7.1474365,2.49999999e-07,,
"SPI","result",7.14743975,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14744375,4e-06,0b00001100,0b00000000
"SPI","result",7.1474495,3.75e-06,0b00000000,0b00000000
"SPI","result",7.1474535,3.75e-06,0b00000001,0b00000000
